t_global,x,y,v,em,es,label
196.095,266,522,0,0,37,1
196.168,272,525,0,0,37,1
196.208,278,536,0,0,37,1
196.279,278,536,0,0,37,1
196.352,281,546,0,0,37,1
196.393,288,559,0,0,37,1
196.465,288,559,0,0,37,1
196.537,291,561,0,0,37,1
196.577,293,562,0,0,37,1
196.649,293,562,0,0,37,1
196.721,294,563,0,0,37,1
196.760,291,564,0,0,37,1
196.833,288,567,0,0,37,1
196.905,288,567,0,0,37,1
196.944,289,571,0,0,37,1
197.017,294,576,0,0,37,1
197.089,294,576,0,0,37,1
197.129,298,578,0,0,36,1
197.201,302,579,0,0,36,1
197.273,302,579,0,0,35,1
197.312,304,580,-8,0,35,1
197.385,304,579,0,0,34,1
197.457,304,579,0,0,32,1
197.497,302,579,0,0,32,1
197.570,298,580,0,0,31,1
197.642,298,580,0,0,31,1
197.681,291,582,0,0,37,1
197.754,287,582,0,0,36,1
197.826,287,582,0,0,36,1
197.870,291,582,0,0,36,1
197.943,295,581,0,0,36,1
198.015,295,581,0,0,36,1
198.054,299,586,0,0,37,1
198.128,301,589,0,0,37,1
198.200,304,591,0,0,37,1
198.240,304,591,0,0,37,1
198.314,306,593,0,0,37,1
198.386,307,592,0,0,37,1
198.427,307,592,0,0,37,1
198.499,307,591,0,0,37,1
198.572,306,593,0,0,38,1
198.612,303,592,0,0,38,1
198.683,303,592,0,0,38,1
198.756,299,587,0,0,37,1
198.797,296,582,0,0,37,1
198.868,296,582,0,0,36,1
198.941,294,578,0,0,36,1
198.981,292,574,0,0,21,1
199.053,289,571,0,0,22,1
199.125,289,571,0,0,22,1
199.164,286,568,0,0,22,1
199.237,283,565,0,0,22,1
199.309,283,565,0,0,22,1
199.348,282,563,0,0,22,1
199.421,280,562,0,0,21,1
199.493,280,562,0,0,21,1
199.533,279,561,0,0,21,1
199.605,278,559,0,0,21,1
199.677,278,559,0,0,32,1
199.717,275,557,0,0,32,1
199.789,272,554,0,0,32,1
199.861,272,554,0,0,31,1
199.906,270,553,0,0,31,1
199.979,266,558,0,0,31,1
200.051,266,558,0,0,31,1
200.092,266,564,0,0,31,1
200.165,267,569,0,0,30,1
200.237,267,569,0,0,30,1
200.276,272,569,0,0,30,1
200.349,276,568,0,0,30,1
200.422,276,568,0,0,30,1
200.460,283,566,-8,0,30,1
200.533,290,563,0,0,30,1
200.605,295,566,0,0,30,1
200.645,295,566,0,0,31,1
200.719,294,567,0,0,31,1
200.791,295,571,0,0,31,1
200.832,300,579,0,0,32,1
200.904,300,579,0,0,32,1
200.976,301,583,0,0,33,1
201.016,299,587,0,0,33,1
201.088,299,587,0,0,33,1
201.161,295,589,0,0,33,1
201.202,290,590,0,0,33,1
201.274,290,590,0,0,33,1
201.347,283,595,0,0,33,1
201.386,280,596,0,0,33,1
201.459,281,593,0,0,33,1
201.531,281,593,0,0,33,1
201.570,280,593,-8,0,32,1
201.643,275,592,0,0,32,1
201.715,275,592,0,0,32,1
201.754,266,589,0,0,31,1
201.827,258,587,0,0,31,1
201.899,258,587,0,0,31,1
201.943,247,585,0,0,31,1
202.016,240,582,0,0,32,1
202.088,240,582,0,0,32,1
202.128,241,579,0,0,32,1
202.200,251,575,0,0,32,1
202.272,251,575,0,0,32,1
202.311,260,571,0,0,32,1
202.384,262,569,0,0,32,1
202.456,262,569,0,0,31,1
202.496,259,565,0,0,31,1
202.569,256,564,0,0,31,1
202.641,256,564,0,0,31,1
202.680,247,568,0,0,31,1
202.753,241,579,0,0,31,1
202.825,235,585,0,0,31,1
202.865,235,585,0,0,31,1
202.939,233,587,0,0,31,1
203.011,234,588,0,0,31,1
203.051,234,588,0,0,32,1
203.125,238,588,0,0,32,1
203.197,243,587,0,0,32,1
203.238,249,587,-8,0,33,1
203.309,249,587,-8,0,33,1
203.382,256,585,0,0,33,1
203.422,268,582,8,0,34,1
203.494,268,582,8,0,34,1
203.567,281,580,0,0,33,1
203.607,285,585,8,0,33,1
203.678,285,585,8,0,33,1
203.751,283,590,0,0,33,1
203.791,284,594,0,0,33,1
203.864,286,593,0,0,33,1
203.936,286,593,0,0,33,1
203.980,286,592,0,0,34,1
204.053,284,592,0,0,34,1
