t_global,x,y,v,em,es,action
3.189,57,638,0,0,73,still_30s
3.189,55,636,0,0,73,still_30s
3.189,56,639,0,0,73,still_30s
3.189,56,639,0,0,73,still_30s
3.189,55,640,0,0,73,still_30s
3.189,56,641,0,0,73,still_30s
3.189,61,641,0,0,73,still_30s
3.189,61,641,0,0,77,still_30s
3.189,67,639,0,0,78,still_30s
3.189,72,640,0,0,78,still_30s
3.189,72,640,0,27,0,still_30s
3.189,73,641,0,27,0,still_30s
3.189,75,642,8,25,0,still_30s
3.189,75,642,8,0,84,still_30s
3.189,70,644,0,0,84,still_30s
3.189,69,645,0,0,87,still_30s
3.189,69,645,0,0,87,still_30s
3.189,77,642,0,0,88,still_30s
3.189,87,638,0,0,89,still_30s
3.189,87,638,0,0,89,still_30s
3.189,98,631,0,0,91,still_30s
3.189,104,624,0,0,92,still_30s
3.189,104,624,0,0,92,still_30s
3.189,107,618,0,0,92,still_30s
3.189,113,615,0,0,91,still_30s
3.189,117,616,0,0,91,still_30s
3.189,117,616,0,0,88,still_30s
3.189,122,622,0,0,88,still_30s
3.189,125,633,0,0,88,still_30s
3.189,125,633,0,0,88,still_30s
3.189,123,646,8,0,88,still_30s
3.189,105,665,8,0,89,still_30s
3.189,84,665,8,0,89,still_30s
3.189,84,665,8,0,90,still_30s
3.189,67,665,8,0,91,still_30s
3.189,51,684,16,0,91,still_30s
3.189,51,684,16,0,90,still_30s
3.189,52,696,8,0,90,still_30s
3.189,61,710,8,0,89,still_30s
3.189,65,717,8,0,88,still_30s
3.189,65,717,8,0,88,still_30s
3.189,71,723,8,0,86,still_30s
3.189,76,726,8,0,85,still_30s
3.189,76,726,8,0,85,still_30s
3.189,83,726,8,0,85,still_30s
3.189,91,725,0,0,84,still_30s
3.189,91,725,0,0,84,still_30s
3.189,98,722,0,0,83,still_30s
3.189,104,720,0,0,83,still_30s
3.189,104,720,0,0,83,still_30s
3.189,106,719,0,0,83,still_30s
3.189,108,719,-8,0,83,still_30s
3.189,108,719,-8,0,83,still_30s
3.189,108,720,0,0,83,still_30s
3.189,112,719,-8,0,80,still_30s
3.189,112,719,-8,0,80,still_30s
3.189,117,718,-8,0,80,still_30s
3.189,122,717,-8,0,79,still_30s
3.189,126,715,-8,0,79,still_30s
3.189,126,715,-8,0,77,still_30s
3.189,131,712,-8,0,75,still_30s
3.189,131,710,-16,0,75,still_30s
3.189,131,710,-16,0,76,still_30s
3.189,131,712,-8,0,78,still_30s
3.189,124,712,-8,0,78,still_30s
3.189,113,712,-8,0,79,still_30s
3.189,113,712,-8,0,78,still_30s
3.189,100,715,-8,0,78,still_30s
3.189,73,719,0,0,78,still_30s
3.237,73,719,0,0,78,still_30s
3.423,58,721,0,0,77,still_30s
3.423,41,722,0,0,74,still_30s
3.423,41,722,0,0,74,still_30s
3.491,33,721,0,0,72,still_30s
3.540,26,714,0,0,72,still_30s
3.609,19,711,0,0,68,still_30s
3.682,19,711,0,0,66,still_30s
3.730,13,710,0,0,66,still_30s
3.805,11,709,0,0,64,still_30s
3.877,11,709,0,0,64,still_30s
3.918,14,707,0,0,63,still_30s
3.991,20,705,0,0,62,still_30s
4.071,20,705,0,0,62,still_30s
4.104,26,701,0,0,60,still_30s
4.169,33,698,0,0,59,still_30s
4.246,33,698,0,0,59,still_30s
4.293,37,696,0,0,57,still_30s
4.358,36,695,0,0,57,still_30s
4.434,36,695,0,0,57,still_30s
4.478,37,693,0,0,57,still_30s
4.574,37,692,0,0,57,still_30s
4.620,36,691,0,0,57,still_30s
4.659,36,691,0,0,56,still_30s
4.727,37,688,0,0,56,still_30s
4.809,35,684,0,0,54,still_30s
4.840,35,684,0,0,53,still_30s
4.930,28,682,0,0,53,still_30s
4.988,22,682,0,0,51,still_30s
5.133,18,683,0,0,51,still_30s
5.133,18,683,0,0,49,still_30s
5.198,14,684,0,0,50,still_30s
5.225,13,683,0,0,50,still_30s
5.293,13,683,0,0,51,still_30s
5.370,19,680,0,0,51,still_30s
5.400,26,679,0,0,50,still_30s
5.477,31,679,0,0,50,still_30s
5.555,31,679,0,0,50,still_30s
5.588,32,682,0,0,51,still_30s
5.666,30,686,0,0,52,still_30s
5.746,30,686,0,0,52,still_30s
5.785,24,692,0,0,51,still_30s
5.849,20,699,0,0,50,still_30s
5.934,20,699,0,0,50,still_30s
5.961,26,700,0,0,50,still_30s
6.037,36,698,0,0,50,still_30s
6.150,36,698,0,0,50,still_30s
6.150,43,696,0,0,49,still_30s
6.224,47,696,0,0,49,still_30s
6.303,47,696,0,0,48,still_30s
6.330,49,694,0,0,48,still_30s
6.404,52,693,0,0,46,still_30s
6.476,52,693,0,0,45,still_30s
6.521,55,691,0,0,45,still_30s
6.598,59,687,0,0,45,still_30s
6.664,64,683,0,0,45,still_30s
6.704,64,683,0,0,46,still_30s
6.773,69,678,0,0,45,still_30s
6.848,70,675,0,0,45,still_30s
6.892,70,675,0,0,43,still_30s
6.992,72,673,0,0,42,still_30s
7.049,74,671,0,0,42,still_30s
7.098,75,671,0,0,43,still_30s
7.162,75,671,0,0,43,still_30s
7.220,76,671,0,0,43,still_30s
7.256,76,672,0,0,43,still_30s
7.330,76,672,0,0,43,still_30s
7.411,71,671,-8,0,43,still_30s
7.449,56,673,0,0,44,still_30s
7.512,56,673,0,0,44,still_30s
7.587,33,670,0,0,45,still_30s
7.635,-28,660,0,0,45,still_30s
7.697,-26,656,0,0,45,still_30s
7.770,-26,656,0,0,45,still_30s
7.820,-21,655,0,0,46,still_30s
7.888,-14,655,0,0,48,still_30s
7.982,-14,655,0,0,48,still_30s
8.004,-6,653,0,0,49,still_30s
8.093,2,652,0,0,51,still_30s
8.152,2,652,0,0,51,still_30s
8.249,9,652,0,0,52,still_30s
8.259,13,652,0,0,54,still_30s
8.327,13,652,0,0,54,still_30s
8.386,17,652,0,0,55,still_30s
8.441,19,653,0,0,56,still_30s
8.514,19,653,0,0,56,still_30s
8.550,17,653,0,0,57,still_30s
8.640,18,653,0,0,57,still_30s
8.737,18,653,0,0,58,still_30s
8.737,21,653,0,0,58,still_30s
8.822,29,652,0,0,59,still_30s
8.897,29,652,0,0,60,still_30s
8.928,40,650,0,0,60,still_30s
9.004,48,649,0,0,62,still_30s
9.074,58,647,0,0,62,still_30s
9.110,58,647,0,0,63,still_30s
9.183,66,642,0,0,65,still_30s
9.259,69,638,0,0,65,still_30s
9.328,69,638,0,0,66,still_30s
9.374,70,638,0,0,66,still_30s
9.439,70,642,0,0,66,still_30s
9.476,66,649,0,0,66,still_30s
9.555,66,649,0,0,66,still_30s
9.639,57,661,0,0,66,still_30s
9.665,48,675,0,0,65,still_30s
9.739,48,675,0,0,65,still_30s
9.804,44,692,0,0,63,still_30s
9.858,46,697,0,0,62,still_30s
9.927,49,700,0,0,62,still_30s
10.009,49,700,0,0,62,still_30s
10.051,54,699,0,0,62,still_30s
10.108,60,696,0,0,62,still_30s
10.188,60,696,0,0,61,still_30s
10.227,63,693,-8,0,61,still_30s
10.294,65,692,0,0,61,still_30s
10.371,65,692,0,0,61,still_30s
10.408,62,691,0,0,61,still_30s
10.482,59,691,0,0,61,still_30s
10.560,59,691,0,0,61,still_30s
10.587,60,689,0,0,61,still_30s
10.662,66,688,0,0,62,still_30s
10.741,66,688,0,0,62,still_30s
10.777,75,687,0,0,62,still_30s
10.869,78,687,0,0,63,still_30s
10.922,78,687,0,0,63,still_30s
10.958,72,690,0,0,64,still_30s
11.033,66,693,0,0,64,still_30s
11.107,66,693,0,0,64,still_30s
11.148,67,693,0,0,65,still_30s
11.213,74,691,0,0,65,still_30s
11.312,74,691,0,0,66,still_30s
11.331,79,688,0,0,66,still_30s
11.407,86,685,0,0,66,still_30s
11.470,94,682,8,0,66,still_30s
11.515,94,682,8,0,66,still_30s
11.591,100,681,0,0,66,still_30s
11.655,104,680,0,0,66,still_30s
11.707,104,680,0,0,66,still_30s
11.782,106,681,0,0,66,still_30s
11.839,105,681,0,0,66,still_30s
11.887,104,680,0,0,65,still_30s
11.963,104,680,0,0,65,still_30s
12.038,107,680,0,0,65,still_30s
12.069,111,679,0,0,66,still_30s
12.153,111,679,0,0,66,still_30s
12.221,117,679,0,0,66,still_30s
12.253,119,679,0,0,65,still_30s
12.363,119,678,0,0,65,still_30s
12.399,119,678,0,0,64,still_30s
12.441,119,676,0,0,64,still_30s
12.532,121,675,0,0,64,still_30s
12.595,121,675,0,0,63,still_30s
12.635,120,675,0,0,63,still_30s
12.702,121,673,0,0,63,still_30s
12.778,121,673,0,0,63,still_30s
12.828,123,670,0,0,62,still_30s
12.909,124,666,0,0,61,still_30s
12.962,124,666,0,0,61,still_30s
12.990,125,663,0,0,60,still_30s
13.064,127,661,0,0,59,still_30s
13.142,127,661,0,0,59,still_30s
13.176,128,659,0,0,58,still_30s
13.265,132,659,0,0,58,still_30s
13.318,132,659,0,0,58,still_30s
13.370,137,659,0,0,58,still_30s
13.435,140,659,0,0,58,still_30s
13.503,140,659,0,0,57,still_30s
13.551,140,661,0,0,58,still_30s
13.641,142,662,0,0,58,still_30s
13.695,142,662,0,0,58,still_30s
13.730,146,660,0,0,58,still_30s
13.831,152,658,0,0,58,still_30s
13.892,158,656,0,0,59,still_30s
13.918,158,656,0,0,59,still_30s
14.009,164,653,0,0,58,still_30s
14.089,169,651,0,0,58,still_30s
14.107,171,649,0,0,58,still_30s
14.187,171,649,0,0,57,still_30s
14.269,171,651,-8,0,57,still_30s
14.318,165,651,0,0,57,still_30s
14.360,165,651,0,0,56,still_30s
14.433,161,652,0,0,56,still_30s
14.482,160,652,0,0,55,still_30s
14.586,160,652,0,0,54,still_30s
14.615,161,654,0,0,54,still_30s
14.656,159,655,0,0,53,still_30s
14.738,158,656,0,0,53,still_30s
14.807,158,656,0,0,52,still_30s
14.864,160,654,0,0,51,still_30s
14.914,168,652,0,0,51,still_30s
14.992,168,652,0,0,50,still_30s
15.026,179,648,0,0,50,still_30s
15.102,191,650,0,0,49,still_30s
15.176,191,650,0,0,49,still_30s
15.209,199,653,0,0,49,still_30s
15.288,198,654,0,0,49,still_30s
15.384,198,654,0,0,49,still_30s
15.403,195,655,0,0,49,still_30s
15.487,191,655,0,0,49,still_30s
15.551,191,655,0,0,49,still_30s
15.580,188,654,0,0,50,still_30s
15.660,186,652,0,0,52,still_30s
15.734,186,652,0,0,52,still_30s
15.814,186,650,0,0,54,still_30s
15.837,187,647,0,0,54,still_30s
15.938,187,647,0,0,55,still_30s
15.964,185,645,0,0,56,still_30s
16.030,182,648,0,0,56,still_30s
16.099,178,653,0,0,56,still_30s
16.174,178,653,0,0,56,still_30s
16.213,178,657,0,0,57,still_30s
16.291,182,658,-8,0,59,still_30s
16.324,182,658,-8,0,59,still_30s
16.425,186,659,0,0,61,still_30s
16.468,188,660,0,0,61,still_30s
16.509,189,658,0,0,62,still_30s
16.598,189,658,0,0,62,still_30s
16.657,187,656,0,0,62,still_30s
16.699,184,656,0,0,63,still_30s
16.810,184,656,0,0,63,still_30s
16.838,181,655,0,0,63,still_30s
16.893,179,654,0,0,62,still_30s
16.946,180,654,0,0,62,still_30s
17.029,180,654,0,0,62,still_30s
17.059,182,653,0,0,61,still_30s
17.133,184,652,0,0,61,still_30s
17.210,184,652,0,0,61,still_30s
17.250,185,652,0,0,61,still_30s
17.329,182,652,0,0,61,still_30s
17.400,182,652,0,0,60,still_30s
17.468,168,652,0,0,60,still_30s
17.510,154,652,0,0,61,still_30s
17.582,154,652,0,0,62,still_30s
17.616,146,651,0,0,62,still_30s
17.709,147,651,0,0,63,still_30s
17.770,147,651,0,0,63,still_30s
17.816,147,651,0,0,65,still_30s
17.886,144,655,0,0,66,still_30s
17.964,144,655,0,0,66,still_30s
17.988,144,660,0,0,67,still_30s
18.067,149,664,0,0,68,still_30s
18.138,149,664,0,0,68,still_30s
18.172,154,662,0,0,69,still_30s
18.255,159,660,0,0,70,still_30s
18.399,159,655,0,0,70,still_30s
18.399,159,655,0,0,71,still_30s
18.442,158,651,0,0,71,still_30s
18.515,157,649,0,0,72,still_30s
18.548,157,649,0,0,73,still_30s
18.617,156,646,0,0,73,still_30s
18.702,151,642,8,0,74,still_30s
18.747,145,639,0,0,74,still_30s
18.806,145,639,0,0,74,still_30s
18.880,140,640,0,0,75,still_30s
18.922,137,648,0,0,75,still_30s
19.009,137,648,0,0,76,still_30s
19.074,141,659,0,0,76,still_30s
19.115,150,670,0,0,76,still_30s
19.202,163,668,0,0,76,still_30s
19.302,163,668,0,0,76,still_30s
19.302,177,664,0,0,76,still_30s
19.404,161,662,0,0,75,still_30s
19.434,161,662,0,0,75,still_30s
19.480,140,663,0,0,73,still_30s
19.565,125,670,0,0,72,still_30s
19.621,125,670,0,0,72,still_30s
19.661,121,680,0,0,70,still_30s
19.727,123,689,0,0,70,still_30s
19.803,123,689,0,0,68,still_30s
19.843,129,695,0,0,66,still_30s
19.918,135,693,0,0,66,still_30s
19.985,135,693,0,0,64,still_30s
20.035,143,689,0,0,64,still_30s
20.105,152,684,0,0,62,still_30s
20.172,152,684,0,0,62,still_30s
20.217,172,677,0,0,62,still_30s
20.291,191,669,0,0,62,still_30s
20.369,191,669,0,0,62,still_30s
20.407,197,665,0,0,62,still_30s
20.487,193,664,0,0,61,still_30s
