t_global,x,y,v,em,es,action
183.805,9,737,0,0,92,still_30s
183.845,9,734,0,0,92,still_30s
183.919,11,735,0,0,90,still_30s
183.992,11,735,0,0,89,still_30s
184.032,15,738,0,0,89,still_30s
184.105,14,740,0,0,88,still_30s
184.177,14,740,0,0,88,still_30s
184.217,2,738,0,0,86,still_30s
184.290,-9,735,0,0,84,still_30s
184.363,-9,735,0,0,84,still_30s
184.400,-18,731,0,0,83,still_30s
184.474,-24,726,0,0,84,still_30s
184.546,-32,723,0,0,84,still_30s
184.586,-32,723,0,0,84,still_30s
184.659,-42,724,0,0,85,still_30s
184.732,-48,721,0,0,85,still_30s
184.772,-48,721,0,0,85,still_30s
184.845,-45,718,0,0,85,still_30s
184.917,-31,718,0,0,86,still_30s
184.958,-15,724,0,0,85,still_30s
185.044,-15,724,0,0,85,still_30s
185.104,-1,739,0,0,84,still_30s
185.143,13,755,0,0,84,still_30s
185.215,13,755,0,0,83,still_30s
185.288,63,785,0,0,82,still_30s
185.329,115,814,0,0,82,still_30s
185.402,115,814,0,0,81,still_30s
185.474,181,840,0,0,81,still_30s
185.513,234,861,0,0,80,still_30s
185.587,236,850,0,0,77,still_30s
185.659,236,850,0,0,77,still_30s
185.704,229,841,0,0,73,still_30s
185.777,220,825,0,0,73,still_30s
185.850,220,825,0,0,73,still_30s
185.889,201,780,0,0,70,still_30s
185.962,176,741,0,0,70,still_30s
186.035,176,741,0,0,70,still_30s
186.074,120,704,0,0,70,still_30s
186.147,89,698,0,0,70,still_30s
186.220,89,698,0,0,72,still_30s
186.260,70,706,0,0,72,still_30s
186.333,50,701,0,0,72,still_30s
186.405,50,701,0,0,74,still_30s
186.445,33,716,0,0,74,still_30s
186.518,24,732,0,22,75,still_30s
186.591,9,744,0,0,78,still_30s
186.630,9,744,0,0,78,still_30s
186.704,-39,739,0,0,79,still_30s
186.778,-55,725,0,0,79,still_30s
186.817,-55,725,0,0,78,still_30s
186.890,-61,701,0,0,78,still_30s
186.963,-51,681,0,0,78,still_30s
187.003,-51,681,0,0,79,still_30s
187.076,-42,674,0,0,79,still_30s
187.148,-18,670,0,0,79,still_30s
187.188,4,665,0,0,80,still_30s
187.261,4,665,0,0,82,still_30s
187.334,17,647,0,0,82,still_30s
187.374,18,644,0,0,84,still_30s
187.447,15,651,0,0,84,still_30s
187.520,15,651,0,0,85,still_30s
187.560,10,661,0,0,85,still_30s
187.634,4,672,0,0,85,still_30s
187.707,4,672,0,0,85,still_30s
187.751,-27,695,0,0,85,still_30s
187.825,-51,715,0,0,84,still_30s
187.898,-51,715,0,0,83,still_30s
187.938,-78,746,0,0,83,still_30s
188.011,-99,769,0,0,82,still_30s
188.083,-99,769,0,0,82,still_30s
188.123,-106,776,0,0,81,still_30s
188.197,-115,778,0,0,81,still_30s
188.269,-115,778,0,0,81,still_30s
188.310,-104,777,0,0,81,still_30s
188.384,-101,776,0,0,81,still_30s
188.456,-101,776,0,0,81,still_30s
188.496,-98,776,0,0,80,still_30s
188.570,-96,776,0,0,79,still_30s
188.643,-97,775,0,0,79,still_30s
188.681,-97,775,0,0,77,still_30s
188.755,-95,776,0,0,76,still_30s
188.828,-94,779,0,0,76,still_30s
188.868,-94,779,0,0,74,still_30s
188.941,-95,788,0,0,74,still_30s
189.014,-94,797,0,0,73,still_30s
189.054,-93,799,0,0,73,still_30s
189.126,-93,799,0,0,71,still_30s
189.200,-91,798,0,0,70,still_30s
189.240,-86,796,0,0,70,still_30s
189.313,-86,796,0,0,69,still_30s
189.389,-79,795,0,0,69,still_30s
189.425,-67,796,0,0,67,still_30s
189.500,-55,796,0,0,65,still_30s
189.571,-55,796,0,0,65,still_30s
189.611,-51,785,0,0,63,still_30s
189.685,-50,772,0,0,60,still_30s
189.758,-50,772,0,0,60,still_30s
189.802,-48,736,0,0,59,still_30s
189.876,-35,710,0,0,57,still_30s
189.948,-35,710,0,0,57,still_30s
189.989,-24,691,0,0,57,still_30s
190.061,-20,679,0,0,56,still_30s
190.133,-20,679,0,0,56,still_30s
190.173,-20,674,0,0,55,still_30s
190.249,-21,671,0,0,55,still_30s
190.318,-21,671,0,0,53,still_30s
190.357,-23,671,0,0,53,still_30s
190.429,-27,669,0,0,53,still_30s
190.502,-27,669,0,0,52,still_30s
190.541,-28,669,0,0,52,still_30s
190.615,-27,674,0,0,50,still_30s
190.686,-22,680,0,0,50,still_30s
190.726,-22,680,0,0,49,still_30s
190.800,-19,683,0,0,50,still_30s
190.871,-19,688,0,0,50,still_30s
190.911,-19,688,0,0,51,still_30s
190.983,-44,703,0,0,52,still_30s
191.056,-71,719,0,0,52,still_30s
191.099,-104,741,0,0,53,still_30s
191.168,-104,741,0,0,53,still_30s
191.241,-107,743,0,0,53,still_30s
191.281,-105,739,0,0,53,still_30s
191.352,-105,739,0,0,53,still_30s
191.425,-102,732,0,0,53,still_30s
191.465,-98,724,0,0,54,still_30s
191.536,-98,724,0,0,54,still_30s
191.610,-80,704,0,0,55,still_30s
191.650,-63,700,0,0,55,still_30s
191.721,-56,695,0,0,56,still_30s
191.793,-56,695,0,0,57,still_30s
191.841,-57,691,0,0,57,still_30s
191.911,-56,690,0,0,57,still_30s
191.983,-56,690,0,0,57,still_30s
192.022,-54,686,0,0,56,still_30s
192.096,-53,679,0,0,56,still_30s
192.167,-53,679,0,0,56,still_30s
192.206,-52,671,0,0,57,still_30s
192.279,-51,661,0,0,57,still_30s
192.352,-51,661,0,0,57,still_30s
192.390,-49,652,0,0,57,still_30s
192.463,-46,649,0,0,56,still_30s
192.535,-46,649,0,0,56,still_30s
192.574,-44,651,0,0,56,still_30s
192.647,-43,655,0,0,56,still_30s
192.719,-43,655,0,0,55,still_30s
192.758,-43,657,0,0,55,still_30s
192.831,-42,656,0,0,55,still_30s
192.903,-42,656,0,0,56,still_30s
192.943,-42,655,0,0,56,still_30s
193.016,-38,652,0,0,56,still_30s
193.088,-35,654,0,0,56,still_30s
193.129,-35,654,0,0,56,still_30s
193.201,-33,664,0,0,57,still_30s
193.273,-31,682,0,0,57,still_30s
193.314,-31,682,0,0,57,still_30s
193.386,-25,733,0,0,59,still_30s
193.458,-22,741,0,0,59,still_30s
193.500,-22,741,0,0,60,still_30s
193.571,-23,725,0,0,59,still_30s
193.643,-25,716,0,0,59,still_30s
193.684,-26,705,0,0,59,still_30s
193.755,-26,705,0,0,58,still_30s
193.827,-29,681,0,0,58,still_30s
193.872,-33,671,0,0,57,still_30s
193.943,-33,671,0,0,57,still_30s
194.016,-39,674,0,0,56,still_30s
194.055,-44,675,0,0,55,still_30s
194.128,-51,673,0,0,55,still_30s
194.201,-51,673,0,0,54,still_30s
194.240,-54,670,0,0,54,still_30s
194.314,-54,667,0,0,52,still_30s
194.385,-54,667,0,0,52,still_30s
194.424,-53,663,0,0,51,still_30s
194.502,-51,662,0,0,50,still_30s
194.569,-51,662,0,0,50,still_30s
194.611,-49,662,0,0,48,still_30s
194.681,-50,667,0,0,48,still_30s
194.753,-50,667,0,0,48,still_30s
194.792,-50,671,0,0,47,still_30s
194.865,-48,676,0,0,45,still_30s
194.937,-48,676,0,0,45,still_30s
194.976,-46,678,0,0,42,still_30s
195.049,-46,679,0,0,42,still_30s
195.121,-46,679,0,0,40,still_30s
195.161,-46,680,0,0,38,still_30s
195.233,-45,678,0,0,38,still_30s
195.305,-45,678,0,0,37,still_30s
195.345,-45,676,0,0,37,still_30s
195.418,-45,674,0,0,37,still_30s
195.491,-46,671,0,0,37,still_30s
195.530,-46,671,0,0,37,still_30s
195.603,-42,672,0,0,37,still_30s
195.678,-41,672,0,0,37,still_30s
195.719,-41,672,0,0,37,still_30s
195.788,-43,673,0,0,37,still_30s
195.860,-48,673,0,0,37,still_30s
195.905,-51,674,0,0,36,still_30s
195.978,-51,674,0,0,37,still_30s
196.050,-50,671,0,0,37,still_30s
196.090,-48,673,0,0,36,still_30s
196.167,-48,673,0,0,35,still_30s
196.234,-38,677,0,0,35,still_30s
196.274,-28,687,0,0,34,still_30s
196.345,-28,687,0,0,34,still_30s
196.418,-21,700,0,0,34,still_30s
196.458,-12,709,0,0,34,still_30s
196.530,3,725,0,0,34,still_30s
196.602,3,725,0,0,35,still_30s
196.642,7,728,0,0,35,still_30s
196.714,9,731,0,0,35,still_30s
196.785,9,731,0,0,35,still_30s
196.826,9,734,0,0,36,still_30s
196.898,7,738,0,0,36,still_30s
196.970,7,738,0,0,36,still_30s
197.009,4,742,0,0,36,still_30s
197.082,2,741,0,0,37,still_30s
197.154,2,741,0,0,37,still_30s
197.194,-2,742,0,0,37,still_30s
197.266,-4,741,0,0,36,still_30s
197.338,-4,741,0,0,36,still_30s
197.378,-1,739,0,0,36,still_30s
197.450,0,735,0,0,36,still_30s
197.523,0,735,0,0,36,still_30s
197.562,0,732,0,0,37,still_30s
197.634,0,727,0,0,37,still_30s
197.706,0,727,0,0,39,still_30s
197.745,-2,720,0,0,39,still_30s
197.818,-1,716,0,0,39,still_30s
197.890,-1,716,0,0,40,still_30s
197.934,-1,718,0,0,40,still_30s
198.007,0,723,0,0,41,still_30s
198.081,4,734,0,0,41,still_30s
198.120,4,734,0,0,42,still_30s
198.193,10,745,0,0,43,still_30s
198.266,11,743,0,0,43,still_30s
198.305,10,737,0,0,44,still_30s
198.378,10,737,0,0,44,still_30s
198.449,8,731,0,0,44,still_30s
198.490,3,729,0,0,44,still_30s
198.562,3,729,0,0,44,still_30s
198.634,0,723,0,0,44,still_30s
198.674,-2,719,0,0,45,still_30s
198.745,-2,719,0,0,45,still_30s
198.818,-2,717,0,0,46,still_30s
198.858,-3,715,0,0,46,still_30s
198.930,-5,713,0,0,46,still_30s
199.002,-5,713,0,0,47,still_30s
199.041,-9,711,0,0,47,still_30s
199.114,-12,711,0,0,47,still_30s
199.186,-12,711,0,0,47,still_30s
199.226,-14,711,0,0,47,still_30s
199.298,-15,710,0,0,47,still_30s
199.370,-15,710,0,0,47,still_30s
199.409,-16,707,0,0,46,still_30s
199.483,-15,704,0,0,45,still_30s
199.554,-15,704,0,0,45,still_30s
199.593,-14,701,0,0,43,still_30s
199.666,-14,694,0,0,42,still_30s
199.738,-14,694,0,0,42,still_30s
199.777,-11,690,0,0,41,still_30s
199.850,-8,691,0,0,41,still_30s
199.922,-8,691,0,0,41,still_30s
199.967,-6,694,0,0,41,still_30s
200.039,-6,695,0,0,41,still_30s
200.111,-6,695,0,0,42,still_30s
200.150,-10,698,0,0,42,still_30s
200.223,-15,706,0,0,43,still_30s
200.295,-15,727,0,0,45,still_30s
200.336,-15,727,0,0,45,still_30s
200.410,-12,815,0,0,47,still_30s
200.481,-9,989,0,0,47,still_30s
200.522,-9,989,0,0,49,still_30s
200.594,-6,1155,0,0,51,still_30s
200.666,-2,1315,0,0,51,still_30s
