t_global,x,y,v,em,es,action
3.194,72,672,8,0,31,still_30s
3.194,72,674,8,0,32,still_30s
3.194,72,674,8,0,32,still_30s
3.194,75,672,-8,0,42,still_30s
3.194,81,666,0,0,42,still_30s
3.194,86,662,24,0,42,still_30s
3.194,86,662,24,0,43,still_30s
3.194,90,660,8,0,43,still_30s
3.194,94,654,-32,0,45,still_30s
3.194,94,654,-32,0,45,still_30s
3.194,97,648,-32,0,45,still_30s
3.194,101,641,-32,0,47,still_30s
3.194,101,641,-32,0,48,still_30s
3.194,104,635,-32,0,48,still_30s
3.194,108,634,-8,0,49,still_30s
3.194,111,633,-8,0,49,still_30s
3.194,111,633,-8,0,50,still_30s
3.194,117,632,-16,0,55,still_30s
3.194,125,631,-16,0,55,still_30s
3.194,125,631,-16,34,0,still_30s
3.194,132,631,-16,34,0,still_30s
3.194,138,630,-16,0,58,still_30s
3.194,138,630,-16,31,0,still_30s
3.194,140,630,8,31,0,still_30s
3.194,138,629,8,0,66,still_30s
3.194,138,629,8,0,66,still_30s
3.194,136,624,8,0,67,still_30s
3.194,134,621,8,0,71,still_30s
3.194,134,621,8,0,71,still_30s
3.194,137,617,0,0,69,still_30s
3.194,140,611,0,0,73,still_30s
3.194,140,611,0,0,73,still_30s
3.194,146,611,0,23,0,still_30s
3.194,151,612,8,29,0,still_30s
3.194,151,615,8,29,0,still_30s
3.194,151,615,8,21,0,still_30s
3.194,154,619,8,21,0,still_30s
3.194,160,620,16,0,79,still_30s
3.194,168,621,16,0,80,still_30s
3.194,168,621,16,0,80,still_30s
3.194,171,622,8,0,83,still_30s
3.194,170,627,0,0,83,still_30s
3.194,170,627,0,0,83,still_30s
3.194,165,633,0,0,83,still_30s
3.194,161,638,-8,0,83,still_30s
3.194,161,638,-8,0,83,still_30s
3.194,156,643,-8,0,83,still_30s
3.194,148,652,0,17,0,still_30s
3.194,149,654,-8,0,84,still_30s
3.194,149,654,-8,0,84,still_30s
3.194,152,651,0,0,87,still_30s
3.194,156,645,0,0,88,still_30s
3.194,156,645,0,0,88,still_30s
3.194,161,639,0,0,88,still_30s
3.194,165,634,0,0,89,still_30s
3.194,165,634,0,0,89,still_30s
3.194,169,629,0,22,0,still_30s
3.194,173,624,0,24,0,still_30s
3.194,173,624,0,24,0,still_30s
3.194,176,619,0,24,0,still_30s
3.194,180,614,0,24,0,still_30s
3.194,180,614,0,0,100,still_30s
3.194,183,609,0,21,0,still_30s
3.194,189,600,0,21,0,still_30s
3.194,196,589,0,21,0,still_30s
3.194,196,589,0,21,0,still_30s
3.194,203,579,0,23,0,still_30s
3.194,209,569,0,23,0,still_30s
3.194,209,569,0,0,100,still_30s
3.233,215,559,0,18,0,still_30s
3.439,221,550,0,18,0,still_30s
3.439,227,541,0,0,100,still_30s
3.439,227,541,0,0,100,still_30s
3.494,232,533,0,0,100,still_30s
3.534,237,524,0,0,100,still_30s
3.602,237,524,0,0,100,still_30s
3.676,243,516,0,0,100,still_30s
3.717,248,509,0,0,100,still_30s
3.789,252,501,0,0,100,still_30s
3.861,252,501,0,0,100,still_30s
3.904,257,494,0,0,100,still_30s
3.986,261,487,0,0,100,still_30s
4.058,261,487,0,0,100,still_30s
4.088,266,480,0,0,100,still_30s
4.165,270,474,0,0,100,still_30s
4.244,270,474,0,0,100,still_30s
4.278,270,474,0,0,100,still_30s
4.347,270,474,0,0,100,still_30s
4.426,270,474,0,0,99,still_30s
4.461,270,474,0,0,99,still_30s
4.536,270,474,0,0,99,still_30s
4.616,270,474,0,0,99,still_30s
4.650,270,474,0,0,96,still_30s
4.727,270,474,0,0,95,still_30s
4.796,270,474,0,0,95,still_30s
4.834,291,476,0,0,93,still_30s
4.907,303,480,0,0,90,still_30s
4.984,315,484,0,0,90,still_30s
5.026,315,484,0,0,88,still_30s
5.099,327,489,0,0,87,still_30s
5.167,339,494,0,0,87,still_30s
5.206,339,494,0,0,87,still_30s
5.283,350,498,0,0,87,still_30s
5.358,360,502,0,0,86,still_30s
5.391,363,502,0,0,85,still_30s
5.469,363,502,0,0,85,still_30s
5.544,361,506,0,0,84,still_30s
5.580,353,517,0,0,84,still_30s
5.657,353,517,0,0,83,still_30s
5.725,341,530,0,0,82,still_30s
5.763,330,543,0,0,82,still_30s
5.839,319,555,0,0,80,still_30s
5.916,319,555,0,0,80,still_30s
5.951,309,567,0,0,80,still_30s
6.037,301,582,0,0,78,still_30s
6.108,301,582,0,0,78,still_30s
6.139,287,597,0,0,79,still_30s
6.217,271,613,0,0,77,still_30s
6.294,271,613,0,0,77,still_30s
6.328,260,625,0,0,76,still_30s
6.407,264,619,0,0,73,still_30s
6.473,264,619,0,0,73,still_30s
6.519,274,608,0,0,68,still_30s
6.585,283,598,0,0,65,still_30s
6.663,283,598,0,0,65,still_30s
6.696,293,588,0,0,61,still_30s
6.771,301,578,0,0,61,still_30s
