t_global,x,y,v,em,es,action
3.190,49,538,8,0,62,still_30s
3.190,51,544,8,0,62,still_30s
3.190,55,547,8,0,62,still_30s
3.190,55,547,8,0,62,still_30s
3.190,59,553,8,0,62,still_30s
3.190,64,556,39,0,61,still_30s
3.190,64,556,39,0,61,still_30s
3.190,70,551,24,0,61,still_30s
3.190,75,546,8,0,61,still_30s
3.190,73,548,0,0,61,still_30s
3.190,73,548,0,0,60,still_30s
3.190,71,548,16,0,60,still_30s
3.190,73,547,0,0,59,still_30s
3.190,73,547,0,0,59,still_30s
3.190,76,548,-8,0,59,still_30s
3.190,80,549,-8,0,58,still_30s
3.190,80,549,-8,0,58,still_30s
3.190,85,552,0,0,57,still_30s
3.190,87,554,-8,0,56,still_30s
3.190,87,554,-8,0,56,still_30s
3.190,92,560,-8,0,56,still_30s
3.190,96,567,-8,0,56,still_30s
3.190,96,567,-8,0,56,still_30s
3.190,101,573,-8,0,56,still_30s
3.190,111,577,-8,0,56,still_30s
3.190,111,577,-8,0,54,still_30s
3.190,118,581,0,0,56,still_30s
3.190,121,585,0,0,56,still_30s
3.190,121,585,0,0,59,still_30s
3.190,125,588,0,0,59,still_30s
3.190,124,591,0,0,62,still_30s
3.190,123,594,0,0,65,still_30s
3.190,123,594,0,0,65,still_30s
3.190,118,596,0,0,69,still_30s
3.190,105,598,0,0,69,still_30s
3.190,105,598,0,0,70,still_30s
3.190,85,599,0,0,72,still_30s
3.190,31,600,0,0,72,still_30s
3.190,4,602,0,0,73,still_30s
3.190,4,602,0,0,75,still_30s
3.190,5,609,0,0,75,still_30s
3.190,6,612,0,0,75,still_30s
3.190,6,612,0,0,77,still_30s
3.190,3,614,0,0,77,still_30s
3.190,3,616,0,0,74,still_30s
3.190,6,618,0,0,74,still_30s
3.190,6,618,0,0,73,still_30s
3.190,6,619,0,0,73,still_30s
3.190,0,619,0,0,73,still_30s
3.190,0,619,0,0,71,still_30s
3.190,-8,618,0,0,71,still_30s
3.190,-16,620,0,0,69,still_30s
3.190,-16,620,0,0,69,still_30s
3.190,-16,623,0,0,69,still_30s
3.190,-8,623,0,0,68,still_30s
3.190,-8,623,0,0,68,still_30s
3.190,0,624,0,0,67,still_30s
3.190,20,628,0,0,66,still_30s
3.190,20,628,0,0,66,still_30s
3.190,15,629,0,0,66,still_30s
3.190,7,628,0,0,66,still_30s
3.190,7,628,0,0,66,still_30s
3.190,-1,627,0,0,64,still_30s
3.190,-1,628,0,0,63,still_30s
3.190,-1,628,0,0,63,still_30s
3.190,-5,628,0,0,63,still_30s
3.190,-14,627,0,0,63,still_30s
3.190,-27,623,0,0,61,still_30s
3.206,-27,623,0,0,59,still_30s
3.401,-41,616,0,0,59,still_30s
3.401,-54,609,0,0,59,still_30s
3.401,-54,609,0,0,59,still_30s
3.472,-52,607,0,0,58,still_30s
3.543,-42,610,0,0,59,still_30s
3.576,-30,610,0,0,59,still_30s
3.650,-30,610,0,0,60,still_30s
3.725,-19,609,0,0,60,still_30s
3.762,-9,609,0,0,61,still_30s
3.835,-9,609,0,0,62,still_30s
3.910,-15,607,0,0,62,still_30s
3.955,-26,602,0,0,63,still_30s
4.023,-38,598,0,0,64,still_30s
4.098,-38,598,0,0,64,still_30s
4.134,-50,594,0,0,65,still_30s
4.210,-61,593,0,0,64,still_30s
4.285,-61,593,0,0,64,still_30s
4.327,-71,597,0,0,63,still_30s
4.408,-75,601,0,0,63,still_30s
4.480,-75,601,0,0,62,still_30s
4.519,-76,607,0,0,61,still_30s
4.588,-78,611,0,0,61,still_30s
4.658,-78,611,0,0,58,still_30s
4.700,-83,610,0,0,58,still_30s
4.778,-90,607,0,0,54,still_30s
4.846,-90,607,0,0,52,still_30s
4.892,-97,606,0,0,52,still_30s
4.958,-104,604,0,0,49,still_30s
5.035,-110,603,0,0,49,still_30s
5.070,-110,603,0,0,46,still_30s
5.148,-110,605,0,0,44,still_30s
5.225,-103,606,0,0,44,still_30s
5.264,-103,606,0,0,42,still_30s
5.331,-96,609,0,0,41,still_30s
5.413,-87,614,0,0,41,still_30s
5.447,-81,618,0,0,34,still_30s
5.522,-81,618,0,0,33,still_30s
5.588,-76,622,0,0,33,still_30s
5.633,-73,624,0,0,31,still_30s
5.702,-73,624,0,0,31,still_30s
5.780,-70,626,0,0,37,still_30s
5.814,-63,625,0,0,38,still_30s
5.891,-53,627,8,0,38,still_30s
5.966,-53,627,8,0,38,still_30s
5.999,-43,628,0,0,38,still_30s
6.101,-51,620,0,0,39,still_30s
6.156,-51,620,0,0,40,still_30s
6.200,-64,610,0,0,40,still_30s
6.260,-73,599,-8,0,31,still_30s
6.338,-73,599,-8,0,31,still_30s
6.375,-69,594,0,0,41,still_30s
6.533,-67,593,0,0,41,still_30s
6.533,-67,593,0,0,41,still_30s
6.582,-38,595,0,0,42,still_30s
6.638,58,628,0,0,43,still_30s
6.703,58,628,0,0,43,still_30s
6.752,142,665,0,0,43,still_30s
6.828,164,666,0,0,44,still_30s
6.891,164,666,0,0,44,still_30s
6.925,176,677,0,0,45,still_30s
7.005,152,693,0,0,45,still_30s
7.073,152,693,0,0,45,still_30s
7.119,117,711,0,0,45,still_30s
7.363,105,708,0,0,45,still_30s
7.363,100,700,0,0,45,still_30s
7.363,100,700,0,0,45,still_30s
7.383,89,681,0,0,45,still_30s
7.496,86,674,0,0,45,still_30s
7.496,86,674,0,0,45,still_30s
7.601,83,666,0,0,45,still_30s
7.698,78,661,0,0,45,still_30s
7.698,67,658,0,0,44,still_30s
9.312,67,658,0,0,43,still_30s
9.312,32,640,0,0,43,still_30s
9.312,-2,623,0,0,42,still_30s
9.312,-2,623,0,0,40,still_30s
9.312,-35,607,0,0,40,still_30s
9.312,-46,589,0,0,39,still_30s
9.312,-46,589,0,0,38,still_30s
9.312,-38,580,0,0,38,still_30s
9.312,-31,581,-8,0,38,still_30s
9.312,-15,587,0,0,38,still_30s
9.312,-15,587,0,0,38,still_30s
9.312,-1,592,0,0,38,still_30s
9.312,0,594,0,0,37,still_30s
9.312,0,594,0,0,38,still_30s
9.312,-4,592,0,0,38,still_30s
9.312,-6,588,0,0,39,still_30s
9.312,-6,588,0,0,32,still_30s
9.312,-7,585,0,0,32,still_30s
9.312,0,590,0,0,33,still_30s
9.312,0,590,0,0,33,still_30s
9.312,3,595,0,0,34,still_30s
9.312,2,597,0,0,35,still_30s
9.312,2,597,0,0,35,still_30s
9.312,2,599,0,0,35,still_30s
9.312,7,600,0,0,35,still_30s
9.312,7,600,0,0,35,still_30s
9.333,17,601,0,0,34,still_30s
9.425,24,601,0,0,34,still_30s
9.501,24,601,0,0,34,still_30s
9.515,28,600,0,0,34,still_30s
9.586,36,600,0,0,34,still_30s
9.656,40,600,0,0,34,still_30s
9.712,40,600,0,0,34,still_30s
9.769,49,600,0,0,34,still_30s
9.846,64,600,0,0,34,still_30s
9.890,64,600,0,0,34,still_30s
9.963,103,601,0,0,34,still_30s
10.027,154,588,0,0,34,still_30s
10.074,200,579,0,0,34,still_30s
10.145,200,579,0,0,35,still_30s
10.219,247,569,0,0,35,still_30s
10.261,289,560,0,0,36,still_30s
10.358,289,560,0,0,38,still_30s
10.400,314,550,0,0,38,still_30s
10.438,333,540,0,0,40,still_30s
10.508,333,540,0,0,42,still_30s
10.788,336,534,0,0,42,still_30s
10.788,338,536,0,0,45,still_30s
10.788,334,539,0,0,45,still_30s
10.788,334,539,0,0,48,still_30s
10.818,322,542,0,0,52,still_30s
10.881,306,545,0,0,52,still_30s
10.971,306,545,0,0,55,still_30s
10.994,285,547,0,0,55,still_30s
11.078,227,552,0,0,57,still_30s
11.138,227,552,0,0,60,still_30s
11.181,189,561,0,0,60,still_30s
11.259,161,575,0,0,62,still_30s
11.325,161,575,0,0,62,still_30s
11.369,145,591,0,0,64,still_30s
11.449,142,597,0,0,65,still_30s
11.517,142,597,0,0,65,still_30s
11.551,136,601,0,0,67,still_30s
11.631,131,605,0,0,68,still_30s
11.697,131,605,0,0,68,still_30s
11.742,132,608,0,0,69,still_30s
11.809,139,612,0,0,70,still_30s
11.885,139,612,0,0,70,still_30s
11.921,147,615,0,0,72,still_30s
11.996,157,614,0,0,72,still_30s
12.074,166,613,0,0,73,still_30s
12.110,166,613,0,0,76,still_30s
12.203,158,612,0,0,76,still_30s
12.257,147,613,0,0,78,still_30s
12.298,147,613,0,0,78,still_30s
12.367,138,614,0,0,82,still_30s
12.447,145,615,0,0,84,still_30s
12.486,154,618,0,0,84,still_30s
12.555,154,618,0,0,86,still_30s
12.621,164,620,0,0,86,still_30s
12.664,173,621,0,0,87,still_30s
12.736,182,621,0,0,87,still_30s
12.813,182,621,0,0,87,still_30s
12.916,188,618,0,0,87,still_30s
12.967,197,617,0,0,87,still_30s
13.000,197,617,0,0,87,still_30s
13.043,204,617,0,0,87,still_30s
13.122,210,620,0,0,89,still_30s
13.182,210,620,0,0,89,still_30s
13.227,215,622,0,0,91,still_30s
13.306,219,622,0,0,91,still_30s
13.366,219,622,0,0,93,still_30s
13.408,220,623,0,0,95,still_30s
13.485,220,625,0,0,95,still_30s
13.564,220,625,0,0,96,still_30s
13.587,224,627,0,0,96,still_30s
13.666,231,625,0,0,98,still_30s
13.735,231,625,0,0,98,still_30s
13.775,235,622,0,0,100,still_30s
13.844,244,620,0,0,100,still_30s
13.955,244,620,0,0,100,still_30s
13.955,252,619,0,0,100,still_30s
14.035,262,618,0,0,100,still_30s
14.102,262,618,0,0,100,still_30s
14.148,271,617,0,0,99,still_30s
14.214,272,616,0,0,98,still_30s
14.295,266,611,0,0,98,still_30s
14.342,266,611,0,0,97,still_30s
14.412,259,604,0,0,97,still_30s
14.488,257,600,0,0,95,still_30s
14.522,257,600,0,0,93,still_30s
14.598,255,589,0,0,93,still_30s
14.667,252,582,0,0,91,still_30s
14.717,249,580,0,0,88,still_30s
14.784,249,580,0,0,88,still_30s
14.863,241,582,0,0,85,still_30s
14.897,231,585,0,0,85,still_30s
14.965,231,585,0,0,83,still_30s
15.033,222,588,0,0,83,still_30s
15.078,193,592,0,0,82,still_30s
15.144,177,596,0,0,81,still_30s
15.221,177,596,0,0,81,still_30s
15.269,181,594,0,0,81,still_30s
15.334,186,592,0,0,81,still_30s
15.401,186,592,0,0,81,still_30s
15.458,188,589,0,0,80,still_30s
15.516,187,587,0,0,80,still_30s
15.593,187,587,0,0,80,still_30s
15.626,191,586,0,0,81,still_30s
15.706,195,586,0,0,81,still_30s
15.775,195,586,0,0,82,still_30s
15.814,195,588,0,0,83,still_30s
15.881,192,590,0,0,83,still_30s
15.965,192,590,0,0,84,still_30s
16.000,191,594,0,0,84,still_30s
16.066,195,597,0,0,84,still_30s
16.146,195,597,0,0,84,still_30s
16.180,199,600,0,0,84,still_30s
16.257,204,604,0,0,83,still_30s
16.335,204,604,0,0,83,still_30s
16.373,209,605,0,0,83,still_30s
16.435,213,605,0,0,82,still_30s
16.514,221,605,0,0,82,still_30s
16.559,221,605,0,0,81,still_30s
16.628,226,607,0,0,79,still_30s
16.705,230,610,0,0,79,still_30s
16.739,230,610,0,0,79,still_30s
16.830,234,612,0,0,79,still_30s
16.886,238,614,0,0,79,still_30s
16.933,244,616,0,0,80,still_30s
17.000,244,616,0,0,80,still_30s
17.071,251,618,0,0,80,still_30s
17.112,257,620,0,0,80,still_30s
17.190,257,620,0,0,80,still_30s
17.258,248,617,0,0,79,still_30s
17.303,237,613,0,0,79,still_30s
17.371,234,616,0,0,78,still_30s
17.439,234,616,0,0,78,still_30s
17.484,240,626,0,0,78,still_30s
17.552,247,635,0,0,76,still_30s
17.627,247,635,0,0,76,still_30s
17.664,254,637,0,0,75,still_30s
17.738,261,639,0,0,74,still_30s
17.817,261,639,0,0,74,still_30s
17.850,263,650,0,0,73,still_30s
17.939,262,658,0,0,72,still_30s
17.998,262,658,0,0,72,still_30s
18.040,259,662,0,0,72,still_30s
18.115,258,662,0,0,72,still_30s
18.187,258,662,0,0,72,still_30s
18.220,255,661,0,0,72,still_30s
18.299,251,660,0,0,72,still_30s
18.363,251,660,0,0,72,still_30s
18.410,248,659,0,0,71,still_30s
18.476,245,659,0,0,71,still_30s
18.553,245,659,0,0,71,still_30s
18.597,241,659,0,0,71,still_30s
18.666,235,657,0,0,71,still_30s
18.744,231,653,0,0,71,still_30s
18.785,231,653,0,0,72,still_30s
18.851,232,651,0,0,73,still_30s
18.943,230,653,0,0,73,still_30s
18.965,230,653,0,0,75,still_30s
19.044,226,655,0,0,76,still_30s
19.109,224,656,0,0,76,still_30s
19.152,226,657,0,0,77,still_30s
19.226,226,657,0,0,79,still_30s
19.304,230,659,0,0,79,still_30s
19.340,233,661,0,0,81,still_30s
19.406,233,661,0,0,83,still_30s
19.484,236,665,0,0,83,still_30s
19.530,234,668,0,0,85,still_30s
19.602,234,668,0,0,85,still_30s
19.665,230,672,0,0,86,still_30s
19.710,228,677,0,0,86,still_30s
19.787,229,679,0,0,87,still_30s
19.843,229,679,0,0,86,still_30s
19.887,233,680,0,0,86,still_30s
19.960,237,681,0,0,85,still_30s
20.039,237,681,0,0,85,still_30s
20.073,242,679,0,0,83,still_30s
20.141,244,678,0,0,82,still_30s
20.213,244,678,0,0,82,still_30s
20.258,240,677,0,0,80,still_30s
20.327,230,674,0,0,79,still_30s
20.407,230,674,0,0,79,still_30s
20.442,219,670,0,0,79,still_30s
