t_global,x,y,v,em,es,action
183.723,-16,713,0,0,100,still_30s
183.764,-21,714,0,0,100,still_30s
183.836,-21,714,0,0,100,still_30s
183.909,-34,713,0,0,100,still_30s
183.949,-51,707,0,0,100,still_30s
184.021,-51,707,0,0,100,still_30s
184.094,-72,699,0,0,100,still_30s
184.134,-91,690,0,0,100,still_30s
184.206,-91,690,0,0,100,still_30s
184.279,-126,672,8,0,100,still_30s
184.320,-131,669,0,0,100,still_30s
184.392,-129,670,0,0,100,still_30s
184.465,-129,670,0,0,100,still_30s
184.505,-125,673,0,0,100,still_30s
184.578,-114,678,0,0,100,still_30s
184.650,-114,678,0,0,100,still_30s
184.691,-82,693,0,0,100,still_30s
184.764,-80,690,0,0,100,still_30s
184.836,-80,690,0,0,100,still_30s
184.875,-84,680,0,0,100,still_30s
184.949,-88,675,8,0,100,still_30s
185.021,-88,675,8,0,100,still_30s
185.061,-92,671,0,0,100,still_30s
185.134,-96,669,0,0,100,still_30s
185.205,-96,669,0,0,100,still_30s
185.246,-100,667,0,0,100,still_30s
185.318,-103,667,0,0,100,still_30s
185.391,-103,667,0,0,100,still_30s
185.433,-101,670,0,0,100,still_30s
185.503,-99,670,0,0,100,still_30s
185.577,-101,668,0,0,100,still_30s
185.620,-101,668,0,0,100,still_30s
185.694,-104,664,0,0,100,still_30s
185.768,-105,661,0,0,100,still_30s
185.807,-105,661,0,0,100,still_30s
185.882,-107,656,0,0,100,still_30s
185.954,-108,656,0,0,100,still_30s
185.993,-107,657,0,0,100,still_30s
186.066,-107,657,0,0,100,still_30s
186.138,-104,656,0,0,100,still_30s
186.178,-101,654,0,0,100,still_30s
186.250,-101,654,0,0,100,still_30s
186.326,-98,653,0,0,100,still_30s
186.363,-95,655,0,0,100,still_30s
186.436,-91,655,0,0,100,still_30s
186.508,-91,655,0,0,100,still_30s
186.548,-86,656,0,0,100,still_30s
186.620,-77,658,-8,0,100,still_30s
186.692,-77,658,-8,0,100,still_30s
186.731,-54,657,0,0,100,still_30s
186.803,-36,659,0,0,100,still_30s
186.876,-36,659,0,0,100,still_30s
186.916,-23,661,0,0,100,still_30s
186.989,-18,664,0,0,100,still_30s
187.062,-18,664,0,0,100,still_30s
187.101,-18,665,0,0,100,still_30s
187.175,-24,664,0,0,100,still_30s
187.247,-24,664,0,0,100,still_30s
187.287,-31,663,0,0,100,still_30s
187.361,-35,665,8,0,100,still_30s
187.433,-35,665,8,0,100,still_30s
187.473,-39,666,0,0,100,still_30s
187.547,-41,664,0,0,100,still_30s
187.620,-41,664,0,0,100,still_30s
187.665,-41,663,0,0,100,still_30s
187.738,-37,662,0,0,100,still_30s
187.811,-31,668,0,0,100,still_30s
187.850,-31,668,0,0,100,still_30s
187.924,-24,671,0,0,100,still_30s
187.997,-17,675,0,0,98,still_30s
188.038,-15,679,8,0,94,still_30s
188.112,-15,679,8,0,94,still_30s
188.183,-10,682,0,0,91,still_30s
188.223,-3,684,0,0,91,still_30s
188.296,-3,684,0,0,88,still_30s
188.369,-1,687,0,0,86,still_30s
188.409,0,688,0,0,86,still_30s
188.482,0,686,0,0,84,still_30s
188.554,0,686,0,0,84,still_30s
188.595,-4,686,0,0,82,still_30s
188.669,-8,686,0,0,65,still_30s
188.741,-8,686,0,0,65,still_30s
188.781,-12,686,0,0,63,still_30s
188.855,-14,688,0,0,61,still_30s
188.927,-14,688,0,0,61,still_30s
188.966,-17,688,0,0,59,still_30s
189.041,-17,687,0,0,59,still_30s
189.113,-17,687,0,0,59,still_30s
189.152,-19,682,0,0,59,still_30s
189.226,-21,678,0,0,59,still_30s
189.300,-21,678,0,0,61,still_30s
189.339,-24,675,0,0,62,still_30s
189.412,-27,673,0,0,62,still_30s
189.486,-27,673,0,0,63,still_30s
189.524,-29,672,0,0,63,still_30s
189.598,-30,671,0,0,62,still_30s
189.671,-29,671,0,0,59,still_30s
189.717,-29,671,0,0,59,still_30s
189.790,-25,673,0,0,57,still_30s
189.863,-17,679,0,0,54,still_30s
189.905,-12,683,0,0,54,still_30s
189.976,-12,683,0,0,53,still_30s
190.048,-9,686,0,0,53,still_30s
190.089,-6,687,0,0,53,still_30s
190.160,-6,687,0,0,53,still_30s
190.232,-4,687,0,0,53,still_30s
190.272,1,687,0,0,52,still_30s
190.344,1,687,0,0,52,still_30s
190.416,11,690,0,0,52,still_30s
190.457,17,690,0,0,51,still_30s
190.529,17,689,0,0,52,still_30s
190.600,17,689,0,0,52,still_30s
190.639,15,687,0,0,52,still_30s
190.712,16,686,0,0,52,still_30s
190.787,16,686,0,0,52,still_30s
190.823,15,683,0,0,52,still_30s
190.898,14,680,0,0,52,still_30s
190.969,14,680,0,0,54,still_30s
191.008,13,678,0,0,54,still_30s
191.081,11,676,0,0,55,still_30s
191.165,11,676,0,0,55,still_30s
191.192,10,670,0,0,57,still_30s
191.265,9,666,0,0,59,still_30s
191.337,9,666,0,0,59,still_30s
191.377,10,663,0,0,61,still_30s
191.449,13,664,0,0,64,still_30s
191.522,13,664,0,0,64,still_30s
191.561,15,667,0,0,65,still_30s
191.633,14,668,0,0,66,still_30s
191.705,14,668,0,0,66,still_30s
191.749,16,668,0,0,67,still_30s
191.822,24,669,8,0,67,still_30s
191.895,30,669,0,0,82,still_30s
191.935,30,669,0,0,83,still_30s
192.010,33,669,0,0,83,still_30s
192.079,33,667,0,0,86,still_30s
192.119,33,667,0,0,86,still_30s
192.193,32,664,0,0,89,still_30s
192.266,30,662,0,0,89,still_30s
192.309,27,660,0,0,89,still_30s
192.378,27,660,0,0,88,still_30s
192.451,22,657,0,0,88,still_30s
192.492,19,656,0,0,88,still_30s
192.562,19,656,0,0,89,still_30s
192.634,20,656,0,0,89,still_30s
192.674,19,656,0,0,88,still_30s
192.749,19,656,0,0,88,still_30s
192.820,14,657,0,0,88,still_30s
192.858,9,657,0,0,87,still_30s
192.932,3,655,0,0,87,still_30s
193.002,3,655,0,0,87,still_30s
193.041,0,652,0,0,87,still_30s
193.114,-3,645,0,0,87,still_30s
193.186,-3,645,0,0,86,still_30s
193.225,-5,639,0,0,86,still_30s
193.301,-7,635,0,0,83,still_30s
193.370,-7,635,0,0,64,still_30s
193.410,-8,634,0,0,64,still_30s
193.482,-9,630,0,0,62,still_30s
193.557,-9,630,0,0,62,still_30s
193.593,-14,630,0,0,64,still_30s
193.667,-19,634,0,0,81,still_30s
193.738,-19,634,0,0,81,still_30s
193.783,-24,639,0,0,83,still_30s
193.855,-25,643,0,0,86,still_30s
193.927,-25,643,0,0,86,still_30s
193.967,-27,648,0,0,88,still_30s
194.039,-34,658,0,0,90,still_30s
