t_global,x,y,v,em,es,action
183.701,-18,626,0,0,70,still_30s
183.771,-18,626,0,0,69,still_30s
183.812,-17,626,0,0,69,still_30s
183.885,-15,628,0,0,69,still_30s
183.957,-15,628,0,0,69,still_30s
183.997,-15,631,0,0,69,still_30s
184.070,-17,632,0,0,68,still_30s
184.141,-17,632,0,0,68,still_30s
184.181,-19,631,8,0,69,still_30s
184.255,-21,628,0,0,68,still_30s
184.327,-21,628,0,0,68,still_30s
184.368,-25,627,8,0,69,still_30s
184.440,-29,626,0,0,71,still_30s
184.511,-29,626,0,0,71,still_30s
184.551,-32,629,0,0,72,still_30s
184.623,-30,633,0,0,72,still_30s
184.696,-30,633,0,0,70,still_30s
184.736,-24,638,0,0,70,still_30s
184.810,-19,643,0,0,71,still_30s
184.882,-19,643,0,22,72,still_30s
184.922,-13,649,8,22,72,still_30s
184.995,-8,654,8,0,72,still_30s
185.068,-8,657,0,0,72,still_30s
185.108,-8,657,0,0,71,still_30s
185.181,-11,657,0,0,72,still_30s
185.254,-18,658,8,0,72,still_30s
185.293,-18,658,8,0,71,still_30s
185.367,-26,660,8,0,72,still_30s
185.440,-29,662,0,0,72,still_30s
185.480,-32,664,8,0,74,still_30s
185.553,-32,664,8,0,75,still_30s
185.624,-33,666,8,0,75,still_30s
185.669,-32,667,8,0,75,still_30s
185.741,-32,667,8,0,73,still_30s
185.813,-31,669,8,0,73,still_30s
185.853,-25,672,0,0,72,still_30s
185.926,-11,680,0,0,72,still_30s
185.998,-11,680,0,0,70,still_30s
186.038,1,687,-8,0,68,still_30s
186.110,1,697,-8,0,68,still_30s
186.183,1,697,-8,0,67,still_30s
186.222,0,699,-8,0,67,still_30s
186.296,-1,696,0,21,68,still_30s
186.369,-1,696,0,21,68,still_30s
186.407,0,695,0,0,69,still_30s
186.481,9,694,-8,25,72,still_30s
186.552,9,694,-8,25,72,still_30s
186.593,13,693,-24,0,71,still_30s
186.665,16,694,-32,30,70,still_30s
186.737,16,694,-32,30,70,still_30s
186.776,20,698,-16,0,71,still_30s
186.849,21,701,8,0,72,still_30s
186.922,21,701,8,0,72,still_30s
186.962,19,702,8,0,73,still_30s
187.034,14,702,0,0,73,still_30s
187.107,14,702,0,0,74,still_30s
187.147,3,702,8,21,81,still_30s
187.220,-6,703,8,21,81,still_30s
187.293,-13,705,8,0,82,still_30s
187.333,-13,705,8,0,82,still_30s
187.406,-11,707,0,0,83,still_30s
187.480,-9,707,0,0,85,still_30s
187.519,-9,707,0,0,85,still_30s
187.592,-9,705,8,0,87,still_30s
187.666,-8,705,0,0,87,still_30s
187.711,-6,707,0,0,89,still_30s
187.784,-6,707,0,0,92,still_30s
187.856,-5,708,0,0,92,still_30s
187.897,-4,709,0,0,95,still_30s
187.970,-7,711,0,0,96,still_30s
188.042,-7,711,0,0,96,still_30s
188.082,-9,711,0,0,98,still_30s
188.156,-10,711,0,0,97,still_30s
188.228,-10,711,0,0,97,still_30s
188.269,-11,712,0,0,98,still_30s
188.343,-11,713,0,0,99,still_30s
188.415,-11,713,0,0,99,still_30s
188.454,-11,714,0,0,99,still_30s
188.528,-14,715,0,0,99,still_30s
188.601,-14,715,0,0,97,still_30s
188.641,-15,714,0,0,96,still_30s
188.716,-15,712,0,0,96,still_30s
188.787,-15,712,0,0,95,still_30s
188.826,-14,707,0,0,95,still_30s
188.900,-13,704,0,0,91,still_30s
188.974,-13,704,0,0,89,still_30s
189.012,-11,705,0,0,89,still_30s
189.086,-9,702,0,0,88,still_30s
189.158,-9,702,0,0,88,still_30s
189.199,-7,700,0,0,86,still_30s
189.273,-5,700,0,0,86,still_30s
189.345,-4,699,0,0,86,still_30s
189.385,-4,699,0,0,85,still_30s
189.458,-1,700,0,0,84,still_30s
189.531,0,702,0,0,84,still_30s
189.571,0,706,0,0,83,still_30s
189.644,0,706,0,0,83,still_30s
189.719,0,709,0,0,83,still_30s
189.762,0,709,0,0,83,still_30s
189.834,0,709,0,0,83,still_30s
189.908,1,707,0,0,84,still_30s
189.947,2,704,0,0,86,still_30s
190.020,4,701,0,0,86,still_30s
190.092,4,701,0,0,88,still_30s
190.131,6,698,0,0,88,still_30s
190.204,8,696,0,0,88,still_30s
190.276,8,696,0,0,87,still_30s
190.315,9,694,0,0,87,still_30s
190.388,9,692,0,0,86,still_30s
190.461,9,692,0,0,86,still_30s
190.499,7,694,0,0,83,still_30s
190.572,9,696,0,0,83,still_30s
190.644,9,696,0,0,83,still_30s
190.683,10,696,0,0,84,still_30s
190.756,13,695,0,0,81,still_30s
190.828,13,695,0,0,81,still_30s
190.868,14,695,0,0,74,still_30s
190.940,15,694,0,0,74,still_30s
191.012,15,694,0,0,74,still_30s
191.052,16,692,0,0,73,still_30s
191.128,15,690,0,0,73,still_30s
191.196,15,690,0,0,71,still_30s
191.235,14,690,0,0,71,still_30s
191.308,13,689,0,0,71,still_30s
191.380,13,689,0,0,71,still_30s
191.420,12,688,0,0,71,still_30s
191.494,11,688,0,0,70,still_30s
191.567,11,687,0,0,70,still_30s
191.608,11,687,0,0,71,still_30s
191.679,11,685,0,0,72,still_30s
191.752,10,685,0,0,72,still_30s
191.796,9,681,0,0,71,still_30s
191.869,9,681,0,0,71,still_30s
191.942,12,677,0,0,71,still_30s
191.981,10,673,0,0,72,still_30s
192.053,10,673,0,0,72,still_30s
192.125,8,674,0,0,72,still_30s
192.164,6,670,0,0,72,still_30s
192.237,6,670,0,0,72,still_30s
192.309,4,669,0,0,72,still_30s
192.349,0,673,0,0,73,still_30s
192.420,-5,676,0,0,73,still_30s
192.493,-5,676,0,0,73,still_30s
192.532,-8,673,0,0,73,still_30s
192.608,-9,664,0,0,74,still_30s
192.677,-9,664,0,0,75,still_30s
192.717,-5,653,0,0,75,still_30s
192.791,-1,643,0,0,77,still_30s
192.860,-1,643,0,0,77,still_30s
192.900,-6,641,0,0,81,still_30s
192.973,-21,646,0,0,84,still_30s
193.045,-21,646,0,0,84,still_30s
193.084,-36,653,0,0,88,still_30s
193.157,-43,656,0,0,92,still_30s
193.229,-43,656,0,0,92,still_30s
193.269,-46,655,0,0,95,still_30s
193.341,-43,654,0,0,97,still_30s
193.418,-43,654,0,0,97,still_30s
193.453,-36,651,0,0,99,still_30s
193.525,-30,648,0,0,99,still_30s
193.597,-30,648,0,0,100,still_30s
193.637,-10,647,0,0,100,still_30s
193.709,8,646,0,0,100,still_30s
193.781,8,646,0,0,100,still_30s
193.826,29,646,0,0,100,still_30s
193.900,25,645,0,0,100,still_30s
193.973,19,640,0,0,100,still_30s
194.012,19,640,0,0,100,still_30s
194.085,15,634,0,0,100,still_30s
194.157,12,627,0,0,100,still_30s
194.200,12,627,0,0,100,still_30s
194.270,12,621,0,0,100,still_30s
194.344,16,617,0,0,100,still_30s
194.382,19,613,0,0,100,still_30s
194.454,19,613,0,0,100,still_30s
194.526,20,612,0,0,100,still_30s
194.566,17,612,0,0,100,still_30s
194.637,17,612,0,0,100,still_30s
194.710,13,609,0,0,100,still_30s
194.750,12,608,0,0,100,still_30s
194.823,11,605,0,0,100,still_30s
194.894,11,605,0,0,100,still_30s
194.934,10,602,0,0,100,still_30s
195.006,8,598,0,0,100,still_30s
195.079,8,598,0,0,100,still_30s
195.121,12,598,0,0,100,still_30s
195.192,13,600,0,0,100,still_30s
195.263,13,600,0,0,100,still_30s
195.302,7,602,0,0,100,still_30s
195.376,-1,606,0,0,100,still_30s
195.447,-1,606,0,0,100,still_30s
195.486,-10,609,0,0,100,still_30s
195.559,-12,609,0,0,100,still_30s
195.631,-12,609,0,0,100,still_30s
195.670,-12,608,0,0,100,still_30s
195.743,-11,607,0,0,100,still_30s
195.815,-11,607,0,0,100,still_30s
195.859,-9,605,0,0,100,still_30s
195.936,-7,603,0,0,100,still_30s
196.004,-7,603,0,0,100,still_30s
196.044,-7,603,0,0,100,still_30s
196.116,-7,608,0,0,100,still_30s
196.189,-7,608,0,0,100,still_30s
196.228,-9,611,0,0,100,still_30s
196.301,-10,613,0,0,100,still_30s
196.376,-8,613,0,0,100,still_30s
196.414,-8,613,0,0,100,still_30s
196.486,-6,613,0,0,100,still_30s
196.559,-6,612,8,0,100,still_30s
196.600,-6,612,8,0,100,still_30s
196.672,-6,609,0,0,100,still_30s
196.744,-5,607,0,0,100,still_30s
196.785,-3,606,0,0,100,still_30s
196.856,-3,606,0,0,100,still_30s
196.928,-1,606,0,0,100,still_30s
196.968,3,606,0,0,100,still_30s
197.040,3,606,0,0,100,still_30s
197.112,15,608,0,0,100,still_30s
