t_global,x,y,v,em,es,action
0.042,28,746,-8,0,61,still_30s
0.113,28,746,-8,0,61,still_30s
0.152,24,742,0,0,61,still_30s
0.225,16,738,0,0,62,still_30s
0.299,16,738,0,0,62,still_30s
0.339,6,733,0,0,63,still_30s
0.411,1,729,0,0,64,still_30s
0.484,-1,727,0,0,64,still_30s
0.523,-1,727,0,0,66,still_30s
0.596,-4,725,0,0,68,still_30s
0.669,-3,723,0,0,68,still_30s
0.709,-3,723,0,0,70,still_30s
0.783,-3,722,0,0,70,still_30s
0.856,-6,719,0,0,73,still_30s
0.901,-12,715,0,22,76,still_30s
0.973,-12,715,0,22,76,still_30s
1.046,-21,715,0,0,80,still_30s
1.085,-27,713,0,0,80,still_30s
1.159,-27,713,0,0,85,still_30s
1.231,-32,717,0,0,88,still_30s
1.271,-35,720,0,0,88,still_30s
1.344,-37,726,0,0,91,still_30s
1.416,-37,726,0,0,91,still_30s
1.456,-43,745,0,0,93,still_30s
1.529,-59,810,0,0,94,still_30s
1.600,-59,810,0,0,94,still_30s
1.640,-61,825,0,0,94,still_30s
1.712,-62,843,0,0,97,still_30s
1.784,-62,843,0,0,97,still_30s
1.823,-68,858,0,0,99,still_30s
1.897,-75,866,0,0,100,still_30s
1.969,-75,866,0,0,100,still_30s
2.009,-75,862,0,0,100,still_30s
2.081,-76,855,0,0,100,still_30s
2.154,-76,855,0,0,100,still_30s
2.194,-80,864,0,0,100,still_30s
2.266,-83,870,0,0,100,still_30s
2.339,-83,870,0,0,100,still_30s
2.378,-83,872,0,0,100,still_30s
2.452,-83,869,0,0,100,still_30s
2.525,-83,869,0,0,100,still_30s
2.565,-83,861,0,0,100,still_30s
2.637,-84,852,0,0,100,still_30s
2.711,-90,826,0,0,100,still_30s
2.750,-90,826,0,0,100,still_30s
2.823,-90,806,0,0,100,still_30s
2.896,-91,796,0,0,100,still_30s
2.941,-91,796,0,0,100,still_30s
3.014,-89,793,0,0,100,still_30s
3.087,-83,790,0,0,100,still_30s
3.127,-72,787,0,0,100,still_30s
3.200,-72,787,0,0,100,still_30s
3.271,-40,771,0,0,100,still_30s
3.312,-2,754,8,0,100,still_30s
3.384,-2,754,8,0,100,still_30s
3.457,31,739,0,0,100,still_30s
3.497,18,746,0,0,100,still_30s
3.570,13,749,0,0,100,still_30s
3.643,13,749,0,0,100,still_30s
3.683,9,752,0,0,100,still_30s
3.756,5,753,0,0,100,still_30s
3.829,5,753,0,0,100,still_30s
3.869,2,753,0,0,100,still_30s
3.943,0,753,0,0,100,still_30s
4.015,0,753,0,0,100,still_30s
4.055,-4,753,0,0,100,still_30s
4.129,-5,753,0,0,100,still_30s
4.202,-5,753,0,0,100,still_30s
4.241,-6,753,0,0,100,still_30s
4.316,-7,757,0,0,100,still_30s
4.388,-7,757,0,0,100,still_30s
4.427,-8,758,0,0,100,still_30s
4.503,-13,757,0,0,100,still_30s
4.574,-13,757,0,0,100,still_30s
4.614,-17,759,0,0,99,still_30s
4.687,-20,756,0,0,99,still_30s
4.760,-21,756,0,0,97,still_30s
4.800,-21,756,0,0,93,still_30s
4.873,-20,754,0,0,93,still_30s
4.946,-20,751,0,0,89,still_30s
4.991,-18,750,0,0,84,still_30s
5.063,-18,750,0,0,84,still_30s
5.137,-22,746,0,0,80,still_30s
5.177,-23,745,0,0,80,still_30s
5.249,-23,745,0,0,78,still_30s
5.323,-19,743,0,0,78,still_30s
5.363,-17,741,0,0,75,still_30s
5.436,-11,740,0,0,73,still_30s
5.508,-11,740,0,0,73,still_30s
5.548,0,742,0,0,73,still_30s
5.622,9,745,0,0,71,still_30s
5.694,9,745,0,0,71,still_30s
5.734,9,746,0,0,68,still_30s
5.808,9,749,0,0,66,still_30s
5.880,9,749,0,0,66,still_30s
5.920,5,750,0,0,65,still_30s
5.995,4,750,0,0,64,still_30s
6.067,4,750,0,0,64,still_30s
6.107,5,751,0,0,63,still_30s
6.180,11,754,0,0,63,still_30s
6.253,11,754,0,0,64,still_30s
6.295,15,755,0,0,65,still_30s
6.365,16,755,0,0,65,still_30s
6.437,16,755,0,0,66,still_30s
6.477,14,753,0,0,66,still_30s
6.552,13,749,0,0,67,still_30s
6.622,13,749,0,0,67,still_30s
6.661,10,746,0,0,68,still_30s
6.733,2,745,0,0,69,still_30s
6.806,-5,742,0,0,69,still_30s
6.846,-5,742,0,0,70,still_30s
6.918,-11,738,0,0,71,still_30s
6.991,-12,735,0,0,71,still_30s
7.037,-8,735,0,0,72,still_30s
7.108,-8,735,0,0,72,still_30s
7.181,-5,733,0,0,72,still_30s
7.221,-6,727,0,0,72,still_30s
7.292,-6,727,0,0,71,still_30s
7.364,-13,720,0,0,71,still_30s
7.405,-20,714,0,0,70,still_30s
7.476,-20,714,0,0,70,still_30s
7.548,-29,707,0,0,68,still_30s
7.588,-31,703,0,0,68,still_30s
7.661,-33,706,-8,0,66,still_30s
7.733,-33,706,-8,0,64,still_30s
7.773,-33,710,0,0,64,still_30s
7.846,-32,712,0,0,62,still_30s
7.919,-32,712,0,0,62,still_30s
7.957,-31,708,0,0,61,still_30s
8.031,-30,704,0,0,60,still_30s
8.102,-30,704,0,0,60,still_30s
8.142,-26,703,0,0,58,still_30s
8.215,-21,704,0,0,58,still_30s
8.286,-21,704,0,0,58,still_30s
8.325,-15,711,0,0,58,still_30s
8.398,-5,719,0,0,58,still_30s
8.470,-5,719,0,0,58,still_30s
8.509,33,749,0,0,58,still_30s
8.582,98,779,0,0,58,still_30s
8.654,98,779,0,0,58,still_30s
8.693,211,852,0,0,59,still_30s
8.766,310,916,0,0,59,still_30s
8.839,310,916,0,0,59,still_30s
8.878,274,896,0,0,59,still_30s
8.951,229,877,0,0,59,still_30s
9.024,229,877,0,0,59,still_30s
9.069,171,857,0,0,59,still_30s
9.140,78,820,0,0,59,still_30s
9.213,21,792,0,0,59,still_30s
9.254,21,792,0,0,58,still_30s
9.326,-23,764,0,0,58,still_30s
9.398,-53,728,0,0,58,still_30s
9.438,-82,696,0,0,58,still_30s
9.511,-82,696,0,0,58,still_30s
9.583,-109,680,0,0,58,still_30s
9.622,-142,684,0,0,57,still_30s
9.695,-142,684,0,0,57,still_30s
9.767,-154,698,0,0,57,still_30s
9.807,-157,732,0,0,55,still_30s
9.879,-157,732,0,0,55,still_30s
9.951,-163,756,0,0,54,still_30s
9.991,-189,788,0,0,51,still_30s
10.063,-224,830,0,0,51,still_30s
10.135,-224,830,0,0,49,still_30s
10.176,-227,825,0,0,49,still_30s
10.248,-215,813,0,0,47,still_30s
10.320,-215,813,0,0,47,still_30s
10.359,-209,807,0,0,45,still_30s
10.432,-205,802,0,0,43,still_30s
10.504,-205,802,0,0,43,still_30s
10.543,-202,796,0,0,42,still_30s
10.616,-202,790,0,0,40,still_30s
10.689,-202,790,0,0,40,still_30s
10.727,-201,787,0,0,39,still_30s
10.802,-199,784,0,0,37,still_30s
10.872,-199,784,0,0,37,still_30s
10.911,-198,781,0,0,36,still_30s
10.984,-195,775,0,0,36,still_30s
11.056,-195,775,0,0,34,still_30s
11.100,-191,767,0,0,33,still_30s
11.173,-190,761,-8,0,33,still_30s
11.245,-190,761,-8,0,32,still_30s
11.284,-189,756,0,0,32,still_30s
11.357,-187,753,0,0,32,still_30s
11.429,-187,755,0,0,32,still_30s
11.470,-187,755,0,0,32,still_30s
11.543,-185,764,0,0,32,still_30s
11.615,-181,771,0,0,32,still_30s
11.655,-181,771,0,0,32,still_30s
11.728,-182,785,0,0,33,still_30s
11.801,-181,812,0,0,33,still_30s
11.841,-171,801,0,0,32,still_30s
11.914,-171,801,0,0,32,still_30s
11.987,-167,796,0,0,32,still_30s
12.025,-163,791,0,0,32,still_30s
12.100,-163,791,0,0,32,still_30s
12.170,-159,790,0,0,32,still_30s
12.209,-156,789,0,0,33,still_30s
12.282,-156,789,0,0,33,still_30s
12.354,-154,787,0,0,33,still_30s
12.395,-152,786,0,0,32,still_30s
12.465,-152,781,0,0,32,still_30s
12.538,-152,781,0,0,32,still_30s
12.578,-149,777,0,0,32,still_30s
12.651,-147,774,0,0,31,still_30s
12.724,-147,774,0,0,31,still_30s
12.764,-145,772,0,0,31,still_30s
12.837,-140,772,0,0,30,still_30s
12.909,-140,772,0,0,30,still_30s
12.953,-137,773,0,0,30,still_30s
13.021,-139,776,0,0,30,still_30s
13.093,-139,776,0,0,30,still_30s
13.138,-140,782,0,0,30,still_30s
13.210,-145,788,0,0,29,still_30s
13.282,-145,788,0,0,29,still_30s
13.321,-150,792,0,0,28,still_30s
13.394,-151,795,0,0,28,still_30s
13.466,-151,795,0,0,28,still_30s
13.506,-149,801,0,0,29,still_30s
